Title,Date,Issuing Org,Type of Organization Issuing,Topic,Peer reviewed,Strength of Industry Ties,Type of Industry Ties,Duplicate?,Notes on Industry Ties,Other Notes,Authors,Organizations,Link,,
"""Natural Gas Liquids""",2013,Brookings,Think Tank,Overall,No,Medium,I,,"Released by Brooking' industry-linked Energy Security Initiative. Author Govinda Avasarala left Brookings in 2013 to work for BP. Natural Gas Task Force provided input to this report. NGTF member David Goldwyn has ties to Chevron, used ties to Hillary Clinton to help TransCanda. Other members include Kelly Bennett of Bentek Energy and Jamie Webster of PFC Energy, both O&G industry consultants.",,Charles Ebinger; Govinda Avasarala,Energy Security Initiative,,,Brookings Institution; Energy Security Initiative; David Goldwyn
"""Potential Economic and Fiscal Impacts from Natural Gas Production in Boome County, New York""",2009,"Broome County, NY",Government,Manufacturing/Economy,No,Medium,A,,"Weinstein and Clower have also been contracted by Devon Energy and the Consumer Energy Alliance, an O&G front group.",,Bernard Weinstein; Terry Clower,,,,Weinstein; Clower; Devon Energy
"""2014 Sustainable Energy in America Factbook""",2014,Business Council for Sustainable Energy,Think tank,Other,No,Strong,M,,BCSE is 28% natural gas industry members; report co-authored by Bloomberg New Energy Finance.,,"Ethan Zindler; Michel Di Capua; Meredith Annex; Charles Blanchard; Cheryl Wilson; Amy Grace; David Hostert; Stefan Linder; Stephen Munro; Aleksandra Rybczynska; Kieron Stopforth; Mark Taylor; Stephanie Adam; Albert Cheung, Ali Izadi-Najafabadi; Colin McKerracher; Thomas Rowlands-Rees; Shu Sun; Brian Warshay; Nicole Aspinall; Joseph Salvatore",Business Council for Sustainable Energy; Bloomberg New Energy Finance,,,
"""The Petroleum Industry and the Monterey Shale: Current Economic Impact and the Economic Future of the San Joaquin Valley""",2013,"California State University, Fresno",University,Manufacturing/Economy,No,Strong,F,,Commissioned by Western States Petroleum Association.,,Antonio Avalos; David Vera,Western States Petroleum Association,,,
"""Hydraulic Fracturing Stude: PXP Inglewood Oil Field""",2012,Cardno ENTRIX,Consultant,Overall,No,Strong,F,,Commissioned by Plains Explorations and Production Company; Cardno Entrix did the EIS for Keystone XL; Claimed peer review. Reviewed by John Martin of JP Martin Energy Strategies.,,Daniel Tormey; Megan Schwartz; Molly Middaugh;,Plains Exploration and Production; Cardno Entrix; JP Martin Energy Services,,,
"""Energy Rush: Shale Production and U.S. National Security""",2014,Center for a New American Security,Think Tank,Overall,No,Medium,I,,"CNAS has several industry funders including Exxon, Chevron, and Occidental.",,Elizabeth Rosenberg,,,,Center for a New American Security (Exxon and Chevron funded)
"""Leveraging Natural Gas to Reduce Greenhouse Gas Emissions""",2013,Center for Climate and Energy Solutions,Think Tank,Public Health/Environment,No,Strong,"F, M",,Numerous O&G and petrochemical cos are members of C2ES; American Clean Skies Foundation (an industry-funded front group) and American Gas Association supported this report.,,,Center for Climate and Energy Solutions; American Clean Skies Foundation; American Gas Association,,,
"""The Impact of Marcellus Gas Drilling on Rural Drinking Water Supplies""",2011,Center for Rural Pennsylvania,Government,Water Quality & Use,No,None found,,,,Prepared by Penn State researchers,Elizabeth W. Boyer; Bryan R. Swistock; James Clark; Mark Madden; Dana E. Rizzo,Pennsylvania State University,,,
"""Realizing the Potential of U.S. Unconventional Natural Gas""",2013,Center for Strategic and International Studies,Think Tank,Overall,No,Medium,I,,"Budget supported by industry including Chevron, Cheniere, and Hess. Author Frank Verrastro is a former Senior VP from Pennzoil.",,Sarah O. Ladislaw; David Pumphrey; Frank A. Verrastro; Lisa A. Hyland; Molly A. Walton,CSIS,,,
"""Why Every Serious Environmentalist Should Favour Fracking""",2013,Centre for Policy Studies,Think Tank,Public Health/Environment,No,Medium,A,,"Authors are Richard and Elizabeth Muller. Father/daughter team who founded ""Global Shale,"" a consulting firm focused on natural gas early exploration and development.",,Richard Muller; Elizabeth Muller,,,,Richard and Elizabeth Muller; Global Shale
"""Shale & renewables: a symbiotic relationship""",2012,Citibank,Financial services company,Other,No,Medium,A,,"Citi invests in/finances O&G. Energy Industry Group focuses on midstream, upstream and oilfield service companies. Oil and gas made up 11.8% of Citi's IB revenue in 2014.",https://online.citibank.com/US/JRS/pands/detail.do?ID=CitiCBEnergy,Jason Channel; Timothy Lam; Shahriar Pourreza,,,,Citigroup
"""City of Fort Worth Natural Gas Air Quality Study""",2011,City of Fort Worth,Government,Public Health/Environment,No,Weak,C,,Prepared by Sage Environmental Consulting (regulation and compliance consultants to O&G industry) and Eastern Research Group (no O&G ties found).,,,Eastern Research Group; Sage Environmental Consulting,,,
"""A commentary on “The greenhouse-gas footprint of natural gas in shale formations” by R.W. Howarth, R. Santoro, and Anthony Ingraffea""",2012,Climatic Change,Peer-reviewed journal,Public Health/Environment,Yes?,None found,,,,"This is listed on EID's list as ""Cornell professor finds Howarth GHG study critically flawed."" Climatic Change is a peer-reviewed journal, but it's unclear whether commentaries on articles are subject to peer-review. Author Lawrence Cathles worked for Chevron in the 80s.",Lawrence M. Cathles; Larry D. Brown; Milton Taam; Andrew Hunter,,http://link.springer.com/article/10.1007%2Fs10584-011-0333-0,,
"""Water Sources and Demand for the Hydraulic Fracturing of Oil and Gas Wells in Colorado from 2010 through 2015""",2012,"Colorado Division of Water Resources, the Colorado Water Conservation Board, and the Colorado Oil and Gas Conservation Commission",Government,Water Quality & Use,No,Weak,O,,"Leadership at COGCC has industry ties: Commissioners Benton and Pearce work at Black Hills E&P and ConocoPhillips respectively; Commissioner Compton is noted as a ""royalty owner.""","COGCC leadership had industry ties during period of report; however, no authors are listed on the report and it is unlikely that the commissioners wrote it themselves.",,,,,
"""Life Cycle Analysis of Water Use and Intensity of Oil and Gas Recovery in Wattberg Field, Colo.""",2012,Colorado Energy & Water Consortium,Public-private partnership,Water Quality & Use,No,Strong,"A, I",,Authors Caleb Douglas and Ken Knox are employed by Noble Energy. CEWC is partially funded by Noble Energy and Knox sits on CEWC's board.,,Caleb Douglas; Ken Knox; Stephen Goodwin; Ken Carlson,,,,
"""Exporting the American Renaissance: Global Impacts of LNG Exports from the United States""",2013,Deloitte,Consultant,Other,No,Medium,C,,"Deloitte's O&G practice serves all of the top 10 oil and gas companies on the Fortune 1,000 and serves 97% of the Fortune 500 energy companies. Author Peter J Robertson is the former vice chairman of the board of directors of Chevron Corporation.",,Tom Choi; Peter J Robertson,,,,
"""Drilling Productivity Report for key tight oil and shale gas regions""",2014,EIA,Government,Other,No,None found,,,,,,,,,
"""Marcellus Shale Drilling Productivity Report""",2014,US EIA,Government,Other,No,None found,,,,,,,,,
"""Data Show Public Health Impacts from Natural Gas Production Overstated""",2011,Energy In Depth,Trade group,Public Health/Environment,No,Strong,"F, A",,Author Susan Mickley is the lease negotiator for a group of property owners in PA that lease land to industry.,"Energy In Depth blog post, not a study",Susan Mickley,,,,
"""Assessing the greenhouse impact of natural gas""",2012,"Geochemistry, Geophysics, Geosystems",Peer-reviewed journal,Public Health/Environment,Yes,None found,,Yes,Second appearance of this study.,,,,http://energyindepth.org/wp-content/uploads/2012/07/Cathles-Assessing-greenhouse-impact-natgas-June2012.pdf,,
"""Assessing the greenhouse impact of natural gas""",2012,"Geochemistry, Geophysics, Geosystems",Peer-reviewed journal,Public Health/Environment,Yes,None found,,,,,Lawrence Cathles,,http://energyindepth.org/wp-content/uploads/2012/07/Cathles-Assessing-greenhouse-impact-natgas-June2012.pdf,,
"""Comment on ""Hydrocarbon Emissions Characterization in the Colorado Front Range - A Pilot Study""",2012,Journal of Geophysical Research,Peer-reviewed journal,Public Health/Environment,Yes,Weak,O,,Author Michael Levi is the David M. Rubenstein Senior Fellow for Energy and the Environment at the Council on Foreign Relations (industry-funded). Advisor to Princeton/BP collaboration.,,Michael A Levi,,http://blogs.cfr.org/levi/files/2012/10/JGRCH4.pdf,,
"""Evaluation of impact of shale gas operations in the Barnett Shale region on volatile organic compounds in air and potential human health risks""",2013,Science of the Total Environment,Peer-reviewed journal,Public Health/Environment,Yes,Strong,F,,"Funded by Barnett Shale Energy Education Council, a consortium of leading energy companies. Authors are from ToxStrategies, an industry consulting firm",,A.G. Bunch; C.S. Perry; L. Abraham; D.S. Wikoff; J.A. Tachovsky; J.G. Hixon; J.D. Urban; M.A. Harris; L.C. Haws,Barnett Shale Energy Education Council,http://www.sciencedirect.com/science/article/pii/S0048969713010073,,
"""Climate Impact of Potential Shale Gas Production in the EU""",2012,European Commission,Government,Public Health/Environment,No,Medium,C,,"Prepared by European firms AEA Technology, Milieu Law & Policy Consulting, and CE Delft, which consult for the oil and gas industry.",,Daniel Forster; Jonathan Perks,AEA Technology; Milieu Law & Policy Consulting; CE Delft,,,
"""Age of Gas""",2013,General Electric,Conglomerate,Manufacturing/Economy,No,Strong,F,,"General Electric has oil and natural gas operations. Both authors previously worked for IHS CERA, a consulting firm that does a significant amount of work for the oil and gas industry. See IHS in the ""Consultants"" section of report (p. xx).",,Peter Evans; Michael Farina,,,,
"""Life Cycle Greenhouse Gas Emissions and Freshwater Consumption of Marcellus Shale Gas""",2013,Environmental Science & Technology,Peer-reviewed journal,Public Health/Environment,Yes,Strong,A,,Both authors work for ExxonMobil.,Attributed by EID to ExxonMobil Research and Engineering Co.,Ian J. Laurenzi; Gilbert R. Jersey,ExxonMobil,http://marcelluscoalition.org/wp-content/uploads/2013/04/es305162w.pdf,,
"""Life Cycle Greenhouse Gas Emissions of Marcellus Shale Gas""",2011,Environmental Research Letters,Peer-reviewed journal,Public Health/Environment,Yes,Weak,A,,Author Michael Griffin consults for BP. Author Aranya Venkatesh left Carnegie to join Exxon as research scientist. CMU Scott Energy Institute has partnered with many energy firms.,,Mohan Jiang; W Michael Griffin; Chris Hendrickson; Paulina Jaramillo; Jeanne VanBriesen; Aranya Venkatesh,,http://iopscience.iop.org/1748-9326/6/3/034014,,
"""The US Energy Revolution: How Shale Energy Could Ignite the US Growth Engine""",2012,Goldman Sachs,Investment bank,Manufacturing/Economy,No,Medium,A,,Goldman Sachs invests in/finances oil & gas. Oil and gas made up 7.1% of Goldman's IB revenue in 2014. GS is also involved in O&G commodities trading.,http://www.goldmansachs.com/what-we-do/investing-and-lending/middle-market-financing-and-investing/alternative-energy/,Kent Wosepka; Huan Zhen; Stephen Levine,,,,
"""National Human Health Risk Evaluation for Hydraulic Fracturing""",2013,Gradient,Consultant,Water Quality & Use,No,Strong,"F, C",,Funded by Halliburton.,,,Halliburton,,,
"""Constraints on Upward Migration of Hydraulic Fracturing Fluid and Brine""",2013,Groundwater (NGWA),Peer-reviewed journal,Water Quality & Use,Yes,Medium,C,,"Gradient (firm where study authors work) consults for industry, including Halliburton.",,Samuel A. Flewelling; Manu Sharma,,,,
"""Evaluation of Methane Sources in Groundwater in Northeastern Pa""",2013,Groundwater (NGWA),Peer-reviewed journal,Water Quality & Use,Yes,Strong,"A, C",,"Authors Wagner and Wylie work for Cabot Oil and Gas; Connor, Farhat, and Molofsky work for industry consultants GSI Environmental Inc; Cabot's data was used in the study.",,Lisa J. Molofsky; John A. Connor; Albert S. Wylie; Tom Wagner; Shahla K. Farhat,"Cabot Oil, GSI Environmental",,,
"""Inventory and Extent of Hydraulic Fracturing In Coalbed Methane Wells In The Producing States""",1998,GWPC,Trade group,Water Quality & Use,No,Medium,I,,"Groundwater Protection Council (GWPC) and its foundation (Groundwater Protection Research Foundation) get funding from O&G, works with industry to run FracFocus. Several directors have ties to industry.",,,,,,
"""State Oil and Gas Agency Groundwater Investigations""",2011,GWPC,Trade group,Water Quality & Use,No,Medium,I,,"GWPC/GWPRF gets funding from O&G, works w industry to run FracFocus. Several directors have ties to industry.",,,,,,
"""Modern Shale Gas Development in the United States: A Primer""",2009,GWPC & ALL Consulting,Trade group & consultant,Water Quality & Use,No,Medium,"C, I",,"GWPC gets funding from the O&G industry and runs the FracFocus chemical disclosure website with industry partners. ALL is an industry consulting firm. Report authors acknowledged the help and support of BP America, Chesapeake Energy, Devon Energy, East Resources, Fortuna Energy, Independent Petroleum Association of America, and more. Unclear if this indicates funding support.","Prepared for US EPA & NETL, listed as ""US EPA & GWPC,"" not clear why it is included under ""Water quality & use""",,,,,
"""The Next Frontier in the United States Unconventional Shale Gas and Tight Oil Extraction: Strategic Reduction of Environmental Impact""",2013,Harvard,University,Public Health/Environment,No,Medium,I,,Belfer Center receives industry funding. Author Yiqiao Tang is now a Research Scientist at Schlumberger.,,Meagan Mauter; Vanessa R. Palmer; Yiqiao Tang; A. Patrick Behrer,Belfer Center,,,
"""Water Consumption of Energy Resource Extraction, Processing, and Conversion""",2010,Harvard,University,Water Quality & Use,No,Medium,I,,Belfer Center receives industry funding. Author Erik Mielke is now a VP at Buried Hill Energy.,,Erik Mielke; Venkatesh Narayanamurt; Laura Diaz Anadon,Belfer Center,,,
"""The Geopolitics of Natural Gas""",2012,Harvard & Rice,University,Other,No,Strong,"A, I",,"Belfer Center & Rice Baker Institute Energy Forum are supported by industry; workshop was facilitated by chief energy advisor for Shell. Author Meghan L O'Sullivan is a stategic advisor to John Hess, the Chairman and CEO of Hess Corporation.",,Amy Myers Jaffe; Meghan L. O'Sullivan,Belfer Center; Rice Baker Institute Energy Forum,,,
"""North American Midstream Infrastructure through 2035: Capitalizing on Our Energy Abundance""",2014,ICF International,Consultant,Manufacturing/Economy,No,Strong,"F, C",,Commissioned by Interstate Natural Gas Association of America (INGAA).,,,Interstate Natural Gas Association of America,,,
"""Strengthening Our Economy: The Untapped U.S. Oil and Gas Resources""",2008,ICF International,Consultant,Manufacturing/Economy,No,Strong,"F, C",,"Commissioned by API. See ""The Industry Players"" in report (p. xx).",,Harry Vidas; Bob Hugman,API,,,
"""U.S. LNG Exports: State-Level Impacts on Energy Markets and the Economy""",2013,ICF International,Consultant,Other,No,Strong,"F, C",,"Commissioned by API. See ""The Industry Players"" in report (p. xx).",,Harry Vidas; Briana Adams; William Pepper; Bob Hugman; Warren Wilczewski; Thu Nguyen,API,,,
"""America's New Energy Future: The Unconventional Oil & Gas Revolutioni and the US Economy""",2013,IHS,Consultant,Water Quality & Use,No,Strong,"F, C",,"Research was supported by American Petroleum Institute, Institute for 21st Century Energy, the American Chemistry Council, and Natural Gas Supply Association.",,John W. Larson; Richard Fullenbaum; Richard Slucher; Sam Andrus; Mary Barcella; Darryl Rogers; Andrew Slaughter; Curtis Smith; Leta Smith,API; Institute for 21st Century Energy; American Chemistry Council; Natural Gas Supply Association,,,
"""Fueling the Future with Natural Gas: Bringing It Home""",2014,IHS,Consultant,Overall,No,Strong,"F, C",,"FuelingTheFuture.org says ""this study brought to you by the American Gas Association."" Study references AGA studies 6 times.",,Rita Beale; Mary Barcella; Kenneth Yeasting; Yanni He; Keith McWhorter,AGA,,,
"""Impact of the Manufacturing Renaissance from Energy Intensive Sectors""",2014,IHS,Consultant,Manufacturing/Economy,No,Strong,"C, I",,"Prepared by IHS for US Conference of Mayors' Council on Metro Economies and the New American City. Several energy companies are members of USCM's Business Council. See ""The Consultants"" in report (p. xx) for more on IHS.",,,,,,
"""Mismeasuring Methane: Estimating Greenhouse Gas Emissions from Upstream Natural Gas Development""",2011,IHS,Consultant,Public Health/Environment,No,Strong,C,,"Author Mary Barcella worked for API and AGA. Author Surya Rajan came to IHS from Marathon Oil and left IHS to join Baker Hughes. See ""The Consultants"" in report (p. xx) for more on IHS and ""The Industry Players"" (p. xx) for more on API.",Listed as a private report. Critical of EPA methane measurements.,Mary Barcella; Samantha Gross; Surya Rajan,,,,
"""Oil & Natural Gas Transportation & Storage Infrastructure: Status, Trends, & Economic Benefits""",2013,IHS,Consultant,Other,No,Strong,"F, C",,"IHS is a major energy industry consulting firm. Report commissioned by O&G trade group, API. See ""The Industry Players"" in report (p. xx) for more on API and ""The Consultants"" for more on IHS.",,,API,,,
"""The Economic and Employment Contributions of Unconventional Gas Development in State Economies""",2012,IHS,Consultant,Manufacturing/Economy,No,Strong,"F, C",,"Commissioned by ANGA. See ""The Industry Players"" in report (p. xx).",,Mohsen Bonakdarpour; John W. Larson,ANGA,,,
"""States' experience with hydraulic fracturing""",2002,Interstate Oil and Gas Compact Commission,Government,Overall,No,Medium,I,,"IOGCC is a multi-state compact that receives industry funding for its annual conferences. Some state representatives, including Bradley Field and Jerry J Langdon, on the commission have industry ties.",,,,,,
"""Measurements of methane emissions at natural gas production sites in the U.S.""",2013,PNAS,Peer-reviewed journal,Public Health/Environment,Yes,Strong,"F, A",Yes,"Funded by industry including Talisman Energy, XTO Energy, and Chevron; authors Matthew Harrison and Al Hendler work for URS Corporation, an engineering and construction contractor to O&G firms; Miskimins works for a Barree & Assoc., an industry consultant, and previously worked for ExxonMobil.",Second appearnce of this study.,David T. Allen; Vincent M. Torres; James Thomas; David W. Sullivan; Matthew Harrison; Al Hendler; Scott C. Herndon; Charles E. Kolb; Matthew P. Fraser; A. Daniel Hill; Brian K. Lamb; Jennifer Miskimins; Robert F. Sawyer; John H. Seinfeld,,http://www.pnas.org/content/110/44/17768.full.pdf+html,,
"""The Role of Oil and Gas and Amenities in County Economic Development""",2013,Liberty Source,Consultant,Manufacturing/Economy,No,Strong,"F, C",,"Prepared for API, not disclosed in report, but API issued press release indicating such. See ""The Industry Players"" in report (p. xx) for more on API.",,Ryan M. Yonk; Randy T. Simmons,API,,,
"""The Economic Impacts of the Haynesville Shale on the Louisiana Economy in 2008""",2009,Louisiana DNR,Government,Manufacturing/Economy,No,Medium,C,,"Study conducted by consultant Loren C Scott & Associates who has done work for Chesapeake, ExxonMobil, Murphy Oil, Placid Oil Refinery, Sasol, Shell, etc.",,Loren C Scott,Loren C Scott & Associates,,,
"""Innovation in Oil and Natural Gas Production Assures Future Supplies""",2013,Manhattan Institute,Think Tank,Other,No,Medium,I,,Manhattan Institute receives funding from Exxon Mobil & Koch.,,Robert Bryce,,,,
"""Small Businesses Unleash America's Energy Employment Boom""",2014,Manhattan Institute,Think Tank,Manufacturing/Economy,No,Medium,I,,Manhattan Institute receives funding from Exxon Mobil & Koch.,,Mark P Mills,,,,
"""The Economic Effects of Hydrofracturing on Local Economies: A Comparison of NY and PA""",2013,Manhattan Institute,Think Tank,Manufacturing/Economy,No,Medium,I,,Manhattan Institute receives funding from Exxon Mobil & Koch. Author Diana Furchtgott-Roth spent five years at API as an economist.,,Diana Furchtgott-Roth; Andrew Gray,,,,
